a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5
-0.922970586907244 - 1.6480192131104514im,-0.9877095053630363 + 0.700208765536615im,-0.08784740048067635 + 0.19185003315462296im,0.57620550376781 - 1.2127054588477986im,-1.8326497983160248 + 0.01653677661789367im,0.24524921540849454 + 0.6089308781660877im,0.00902211601340962 - 0.00261970029033439im,1.130166041046096 - 1.494384619052717im,10.845994372034074 + 3.1888935926157846im,-0.439600248852044 - 11.095720423437621im,-0.0016679401519562025 + 0.0011603516181994233im
-1.647119211201875 + 0.711676474609222im,0.4801272376649033 - 1.8875250680441273im,-0.14580654130007306 - 0.1478074637990753im,-1.5932534336204833 + 1.195951688150883im,-0.3596030449161083 - 1.5796279291885638im,0.6048508128598573 - 2.5819562184016633im,0.006456545711287799 - 0.006197802873024936im,-8.55150422635117 + 2.68145246521753im,-1.8271190683077214 - 2.8096273377739696im,15.9927539222031 - 13.539697175480912im,-0.0008679425382694002 + 9.114667410068568e-5im
-0.9123454736965473 - 2.2025968161679104im,-3.155685958954131e-23 + 5.583145673751802im,-0.04564938823681909 + 0.11020737219536347im,0.5244808511234966 - 0.5244808511234966im,0.28006579259205205 - 0.11600704964839825im,0.033713790320209845 + 4.724708842422102e-25im,0.0015681992777792629 - 0.0006495694093598633im,-32.38374700051154 - 13.413787208070916im,24.30952930734948 + 24.30952930734948im,4.941706700977719 + 11.930335338770414im,-5.3699160003125016e-5 + 1.318398578992589e-26im
-0.707106781186546 + 1.7933662711662604im,3.536202902985781 - 1.5362029029857942im,0.5431297449898567 + 0.12333571991906207im,-0.2448323079891343 - 3.291370594996653im,-2.894242201401837 + 1.4142135623730923im,0.6976921913383479 + 0.6976921913383487im,0.1354320200532579 + 0.10727223646950851im,-2.8087527758169513 + 1.731238426210513im,10.116034107390664 - 2.0241259559943896im,-4.586971056684948 - 5.865529399406603im,-1.3218236936385164e-6 + 1.1193836621631417e-5im
2.4114550209067995 - 1.765058384292976im,-2.6045651570312134 - 2.0478894857996544im,1.0080119086070571 + 0.54429232948936im,0.08600307421996765 - 0.8754905289947893im,0.34181038621527554 + 0.8784553663002305im,-0.20773116660644597 - 0.08477054792288606im,0.12834570904574277 + 1.4978978703985726im,-0.4326648545740587 - 2.7613829635491256im,-2.0661941617026267 + 1.52823153854294im,0.9357588205064218 - 1.697001125803754im,7.4806872993732595e-6 - 1.929206076238982e-5im
0.8698253538209803 - 0.7428717263130651im,-0.2699746366798573 + 0.494562961900938im,-0.54269808433233 + 0.07620983528532589im,2.1488512787152136 - 0.8442754428210238im,0.9323280700541282 + 0.8451928685212903im,-3.4879056567740494 + 1.9290752598024685im,-0.1503802247644996 + 0.06689361680103235im,1.2187021409277683 + 0.22330725916329097im,-0.650409146513995 + 3.8708255899413877im,-4.660462474999739 + 0.47100403382313627im,-0.0012459335952630531 - 0.00014478554910498986im
0.7428717263130669 + 0.8698253538209791im,-0.26997463667985694 + 0.4945629619009402im,0.07620983528532631 + 0.5426980843323297im,-2.148851278715214 + 0.8442754428210257im,-0.8451928685212934 + 0.9323280700541313im,-3.4879056567740454 + 1.929075259802473im,-0.06689361680103262 - 0.15038022476449917im,0.22330725916329494 - 1.2187021409277705im,0.6504091465139962 - 3.870825589941393im,-0.47100403382314077 - 4.6604624749997505im,-0.0012459335952630542 - 0.00014478554910500526im
0.41324226968027733 + 1.3001694292490082im,-1.934874459202598e-31 + 1.0838330690176778e-31im,0.4033146628383769 - 0.12818842138361544im,0.5065571237677283 - 1.4327599090980558im,-1.5745022152383845 - 0.05055424626101172im,-0.4444444444444444 + 1.2570787221094177im,0.045722130998229346 - 0.06044800390321094im,-2.7942459498943206 + 0.8881154351138827im,1.7547653506033232 + 2.481612957605599im,3.8012665881241507 - 5.025552670871191im,-0.01902488425925926 - 0.01007668083722149im
3.873728245384283 - 0.3257489452769793im,1.7695111196692337 + 3.9075456144031824im,0.7166332268999481 - 1.1377277145726603im,0.19868228211320973 - 0.6769028807529465im,-0.08673855412515093 - 6.621122824576116im,4.505191461029473 - 3.0107034248535824im,-2.414846061884443 - 0.28018273542044697im,-0.12194767163926898 + 1.8511637915863624im,-2.2087232865292004 + 1.592744267750088im,-3.2080272216598478 + 0.46613680094089693im,-2.0106892624794357e-7 + 2.0979573170806087e-7im
3.403211480080312e-61 - 3.098492190845992im,-6.196984381691984 + 8.051026015732852e-60im,2.528099956631089e-60 - 1.9384680863002477im,-9.433824136109502 - 2.858697643267462e-60im,-1.9446922743316068e-61 + 12.67066389052702im,7.113775927018013 + 1.5946476649519176e-60im,-2.8509188741701355e-59 + 7.28410112334458im,-2.6423506277480707e-60 - 3.9962965371444135im,-7.226821945651795 + 9.431757530508293e-60im,1.0754148277053786e-59 + 6.468457742725936im,1.8069934640327046e-7 + 1.6740685935774525e-62im
0.05474455103741677 + 0.05963209096572997im,-0.013234557924399705 + 1.970407444158787im,0.5244601022130105 - 0.36912947866888607im,-0.6888968552165787 - 0.201534068014542im,0.29863453466551704 + 0.22507287243712304im,-0.04263823668361131 - 0.04729817528684742im,-0.07012625111396914 - 0.25430017267651084im,-0.4531755891943696 - 1.919153751479106im,-0.9271359331262395 + 1.580854654590538im,0.43102375410390986 - 0.2985491643696765im,-15363.469153754293 + 210063.7749017113im
-6.447043827864143e-58 - 2.0752606388504717im,2.203765034924143 - 1.2514483723778756e-57im,-2.408306912532262e-58 + 0.38633236350094613im,0.947030021935076 - 8.01213217024622e-58im,-5.591379227158236e-58 - 0.389161398272671im,-0.04773075331573228 + 9.29562907130508e-59im,1.0785263353443091e-58 - 0.05766114645232085im,7.23861137120808e-57 + 5.672107669961455im,-7.191707905993567 + 5.986540697302418e-57im,4.5353335345052e-57 + 3.0727054917615177im,-695.6505854375158 + 3.4382963078788585e-45im
-2.9694787989548104 - 2.5088002226153754im,-1.7695111196692337 - 3.9075456144031824im,0.29775876775364973 + 1.3112311964827519im,0.6769028807529465 + 0.19868228211320973im,4.620507428514588 - 4.743174268139009im,4.505191461029473 - 3.0107034248535824im,-1.5094349136929248 - 1.9056731380673133im,1.22274044455168 + 1.3952004956837551im,1.592744267750088 + 2.2087232865292004im,2.5980262955726303 + 1.938809309760806im,-2.0106892624794357e-7 + 2.0979573170806087e-7im
-0.21010690594991 - 0.8008355458178789im,0.6544274814427187 - 1.6140977243105172im,0.4376339868917032 + 0.32985700424497527im,0.25214615877658436 + 0.6323198765481981im,-0.35123285679172733 + 0.0380766548998025im,-0.29477297080304005 - 0.08027102355731996im,-0.0590339466292302 + 0.15363580674543917im,-0.9677444451256446 + 2.473082109338606im,-1.5477337689826849 + 0.13692560685022087im,-1.014370697981601 - 2.4780157360886954im,-0.2653400526080882 - 0.44443883914692206im
-2.1909648396007633 + 2.1909648396007633im,6.196984381691984 + 9.127080255263359e-30im,1.3707039289366147 + 1.3707039289366147im,-1.4127099632209512e-30 - 9.433824136109502im,-8.959512359127178 + 8.959512359127178im,7.113775927018013 + 1.7140382991093306e-30im,-5.150637299165501 + 5.150637299165501im,-2.8258083810471324 - 2.8258083810471324im,-9.412650064246585e-30 + 7.226821945651795im,4.573890333700137 - 4.573890333700137im,1.8069934640327046e-7 - 1.8326129877400767e-36im
