x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.8058648477773949 - 0.9609708714612263im,0.19934032618261052 + 0.09559031453469855im,-0.17990472640238464 + 0.5914411374119001im,-0.781149471251384 + 0.3414916085871969im,-0.09904968945294686 - 0.6358909099078975im,0.0759773456799759 - 0.05282029346828404im,-0.07936821288141858 - 0.9320218112500693im,0.8264604214459109 - 0.6543347765196637im,0.6027692377125509 + 1.5869757999747507im,0.04570541558047392 - 0.0313556413307597im
0.4292927630935947 + 1.178384865922717im,-0.18245380383409904 + 0.12483862920546812im,0.6021554130430606 - 0.13991850538059578im,0.6863151438414171 + 0.5057494819628824im,-0.5011728372893673 + 0.4037250022571603im,-0.08373238881887107 - 0.039388164736829226im,-0.07936821288141876 - 0.932021811250069im,0.8264604214459115 - 0.6543347765196642im,0.6027692377125514 + 1.5869757999747511im,0.004302074154154336 + 0.05525987164859529im
-1.2351576108709892 - 0.2174139944614907im,-0.016886522348511 - 0.22042894374016678im,-0.422250686640676 - 0.45152263203130377im,0.09483432740996839 - 0.847241090550079im,0.6002225267423148 + 0.23216590765073705im,0.007755043138895227 + 0.09220845820511259im,-0.07936821288141944 - 0.93202181125007im,0.826460421445912 - 0.6543347765196627im,0.6027692377125499 + 1.5869757999747518im,-0.05000748973462844 - 0.023904230317835666im
-1.1739091711853638 + 0.0018539199608029113im,1.4266635257008067 + 0.6903721534819071im,0.014056473441850237 - 0.4097406235847685im,-1.0271118623512614 - 0.8093737952332817im,0.0778613101472824 + 0.873561113384232im,-0.633267197567778 + 0.05486166090989573im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,-0.3263438252442613 + 0.2742358369612535im
-422.4804178770704 - 1.9133282773311866e-56im,445.4131280673886 + 2.02969866302719e-56im,0.002360628755274196 - 1.0662573021713678e-61im,0.4315258447736641 + 1.514581037719671e-60im,9.41652286933168 + 2.081598610444552e-58im,-21.684542061662686 - 4.9749117761951165e-58im,-67741.30869514884 - 6.253522987959328e-54im,47570.24894846799 + 4.4106342651613074e-54im,7924.77378180872 + 7.507843904189464e-55im,-4.4408207304902185e-19 + 6.787125518135399e-64im
0.5853490438100435 - 1.017562123962462im,-1.3112115858311044 + 0.8903407791686183im,-0.3618740257078119 + 0.19269704870412063im,-0.18738233665381554 + 1.2941918629411788im,0.7175954608753221 - 0.5042104292516016im,0.36414519082566643 + 0.520994650022127im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,-0.07432328881440238 - 0.41973996151034637im
211.2402089385352 - 365.87877448300827im,-222.7065640336943 + 385.7390840854501im,-0.001180314377637098 - 0.0020443644709714926im,-0.21576292238683206 - 0.3737123439635335im,-4.70826143466584 - 8.154948020158368im,10.842271030831343 + 18.779364294832074im,-67741.30869514884 - 3.2580063524952595e-18im,47570.24894846799 + 2.2944534354342894e-18im,7924.77378180872 + 3.864720170745754e-19im,2.2204103652451083e-19 - 3.845863566257098e-19im
0.5885601273753203 + 1.015708204001659im,-0.11545193986970224 - 1.5807129326505254im,0.34781755226596167 + 0.21704357488064782im,1.214494199005077 - 0.48481806770789715im,-0.7954567710226045 - 0.36935068413263034im,0.2691220067421116 - 0.5758563109320227im,0.061582677305144266 + 2.40326238214369im,1.3912196065916784 + 0.11878842498129552im,2.2191908988122795 - 1.3853147179495597im,0.4006671140586637 + 0.14550412454909292im
211.2402089385352 + 365.87877448300827im,-222.7065640336943 - 385.7390840854501im,-0.001180314377637098 + 0.0020443644709714926im,-0.21576292238683206 + 0.3737123439635335im,-4.70826143466584 + 8.154948020158368im,10.842271030831343 - 18.779364294832074im,-67741.30869514884 + 4.593535377945498e-23im,47570.24894846799 - 3.2449200454332974e-23im,7924.77378180872 - 5.495644852594593e-24im,2.2204103652451093e-19 + 3.8458635662570977e-19im
-2.7125788547737093 + 1.410508239718308im,1.7772780385849174 - 1.618653208891658im,-0.01482396604823029 + 0.24362922892504899im,-0.9982998738544848 + 2.9456921522759307im,3.853104414808042 - 0.45595702867126625im,0.35804193570892157 - 3.4449508740544155im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,0.0011543184061541438 + 0.00034269961217924715im
0.13475345954352919 - 3.0544163178616857im,0.5131557795249169 + 2.3484945354485474im,0.21840108437762212 - 0.10897668327991905im,3.0501941725266573 - 0.6082930247851809im,-2.3214225772674073 - 3.1089077923221047im,-3.1624359395749906 + 1.4124020250831268im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,-0.000873945773091375 + 0.0008283192576958285im
2.57782539523018 + 1.6439080781433777im,-2.2904338181098343 - 0.7298413265568892im,-0.20357711832939185 - 0.13465254564512993im,-2.0518942986721727 - 2.3373991274907495im,-1.531681837540635 + 3.564864820993371im,2.804394003866069 + 2.0325488489712886im,-5.970074062537054 - 9.520156466850038im,-16.917903422662857 + 9.694401173619896im,10.737473750867023 + 9.781306357494309im,-0.0002803726330627689 - 0.0011710188698750756im
-1.2668079155217464 + 0.23449878641228042im,2.0890792405169716 - 0.36196015122209657im,0.367908431508554 + 0.7415863969858025im,-0.493503283717789 + 1.1521606922205427im,-0.164437657990766 - 0.11243011163157683im,-1.6532268735664861 + 0.0438630106614952im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,7.804968369954461 + 14.409070421644183im
0.43032205157121717 - 1.2143372297631836im,-0.7310729341424931 + 1.9901757684174468im,0.4582784431363996 - 0.6894112464457962im,1.2445520705637483 - 0.14869396555962675im,-0.015148503827882834 + 0.19862224497460898im,0.8645999183025656 + 1.4098049653969535im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,-16.381105215040044 - 0.44523432670750673im
0.8364858639505292 + 0.9798384433509032im,-1.3580063063744783 - 1.6282156171953504im,-0.8261868746449537 - 0.052175150540006265im,-0.7510487868459593 - 1.003466726660916im,0.17958616181864884 - 0.08619213334303215im,0.7886269552639206 - 1.4536679760584488im,1.0953235211666794 + 0.6204421466952258im,-0.07404878978468288 + 1.7662459688778076im,-0.5947207345393053 + 0.2969507190281685im,8.576136845085584 - 13.963836094936676im
