a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
0.8058648477773949887207837120955694392066766304653242648365943831980868076924949 - 0.9609708714612260934257147775007709900877599317848934621491226213347793403747473im,0.1993403261826107432387846705693469195288400072750825111032118797645600390982513 + 0.09559031453469862218949664793539156955314826851451494304483784195877043960040122im,0.5914411374118999724974257743622237050359861661668692752869229387635686575733431im - 0.1799047264023846253215669749081858712449509548474302022636192452807526895302654,0.3414916085871968404263434090946583687893168578455956062962570980801297701139435im - 0.7811494712513843578469065520539984627347946960057084096834747644028015102076713,-0.0990496894529469309761089149984091242904177833628374985606947402190480102126248 - 0.635890909907897465162963177043952989172703442021565806695507538496457507107799im,0.07597734567997588561069134878855487043548965428481450168192012507144290820602645 - 0.05282029346828388294352498927968754062256991674012244706980265377773430801792247im,-0.07936821288141886057727728293464144312500318495020007311044904159988313057096349 - 0.9320218112500692716153757394789232089146218357672710476663335936006152848348356im,0.8264604214459114866259727054655507098594111420681869822167236444229093556381437 - 0.6543347765196637262031136156129103209480509328902396715325467644248963075680514im,0.6027692377125508201894499116426571706214366132474504309647154162405576638052529 + 1.586975799974751103410305824440383700210302662698425535158232740444249183538948im,0.04570541558047389381094769646545842637100275760379513985427102054073916939924364 - 0.03135564133075978159663233709423016961190788241593619184844212710265074661418984im
0.4292927630935947220611283938806928760860254943380090986561021546895433239468076 + 1.178384865922716726774908048595988198329654212721691876983153989037580577360955im,0.124838629205467865126876041734739042432432792779394119255422069018622174638055im - 0.1824538038340992403619135574981748810132466687873229621708791529323170016467712,0.6021554130430606488103436196499819761481710023497376356940076838583955857154544 - 0.1399185053805958808181143884048233232831572595902948128282904152904576818364056im,0.6863151438414167986153117352398480777482711915156742823334218127000134168480088 + 0.5057494819628824667477255768096689933063650340466807834764908170316870531561146im,0.4037250022571603523745162091412191275562936154391959582299902514050993897877555im - 0.5011728372893675345198828828215413129037856571052536107316495181622269604912462,-0.08373238881887103977984006456332912607259437911765456515367938498808353969621602 - 0.03938816473682905012441827417258270948155356381635056582314279479219336351726192im,-0.07936821288141886057727728293464144312500318495020007311044904159988313057096241 - 0.9320218112500692716153757394789232089146218357672710476663335936006152848347837im,0.8264604214459114866259727054655507098594111420681869822167236444229093556381178 - 0.654334776519663726203113615612910320948050932890239671532546764424896307568086im,0.6027692377125508201894499116426571706214366132474504309647154162405576638053306 + 1.586975799974751103410305824440383700210302662698425535158232740444249183538948im,0.004302074154154326101851525987170982920791139275968718834099738710075793534060894 + 0.05525987164859536796464188339764315853050737698205498751255431883195987887015115im
-1.235157610870989710781912105976262315292702124803333363492696537887630131639281 - 0.2174139944614906333491932710952172082418942809367984148340313677028012369861842im,-0.0168865223485115028768711130711720385155933384877595489323327268322430374514509 - 0.220428943740166487316372689670130611985581061293909062300259910977392614238454im,-0.4222506866406760234887766447417961049032200475023074334303884385776428961851717 - 0.4515226320313040916793113859574003817528289065765744624586325234731109757369073im,0.09483432740996755923159481681415038498652350449003412735005295170278809335971763 - 0.8472410905500793071740689859043273620956818918922763897727479151118168232700884im,0.6002225267423144654959917978199504371942034404680911092923442583812749707039088 + 0.2321659076507371127884469679027338616164098265823698484655172870913581173200392im,0.007755043138895154169148715774774255637104724832840063471759259916640631490166161 + 0.09220845820511293306794326345227025010412348055647301289294544856992767153514282im,-0.07936821288141886057727728293464144312500318495020007311044904159988313057101531 - 0.9320218112500692716153757394789232089146218357672710476663335936006152848348356im,0.8264604214459114866259727054655507098594111420681869822167236444229093556381782 - 0.6543347765196637262031136156129103209480509328902396715325467644248963075680601im,0.6027692377125508201894499116426571706214366132474504309647154162405576638052442 + 1.586975799974751103410305824440383700210302662698425535158232740444249183539017im,-0.05000748973462821991279922245262940929179389687976385868837075925081496293331385 - 0.02390423031783558636800954630341298891859949456611879566411219172930913225597534im
0.001853919960802911332161761060589654682261474699506668717594301868823884802304899im - 1.173909171185363821748600914854534330374168071749980046908323947497542990939457,1.426663525700806592850995086340099301009310456176015775342222704512008971196309 + 0.6903721534819070988277247429479072267310385534621309669232174455534188863645322im,0.014056473441850236358396187110067362814376946594058956468453472224523648932539 - 0.409740623584768467868183615971257298176744849438929823888365032065452228572058im,-1.027111862351261477474309908048935809962459861277210370610280886615379583086539 - 0.8093737952332816327380419822878433319360791167701997269425551220577086427469401im,0.07786131014728240371161664394318234994042994113596086000352662549583004033868019 + 0.8735611133842320023854837752903112645447306511459061642203048379556194394044971im,0.05486166090989572893569825893265848639864645063268997729970607530054381653856918im - 0.6332671975677780590969276914369448859475486751672000949340153417591782859522082,0.06158267730514426546151101659157902553690995762338670502286358637342552405084869 + 2.403262382143689879083930198105180061595613007855913623619150827913243383554501im,1.391219606591678462840105278930795021705997658203408364508718892312608106650446 + 0.1187884249812955187289829014498054464195065242070850057972806150281912847209632im,2.219190898812279683395606023902126816412174785824249157795097758152218006524001 - 1.385314717949559706325037730074953508491440256380023723547108552376924409974926im,0.2742358369612534677576493761320782358345377913468059305229345416667592291811348im - 0.3263438252442612874584138456221116588448116820106959017207234002495514376721943
4.23525806333499714746010324759512680166688697026383504294550784485747648498247e-13777im - 422.4804178770703857336972520197047056080365815751023973481796436734372983462408,445.4131280673885793547739370350376414166526271545517381317457491659026839663624 - 4.463870184964682633280862422392929868451460543392516679723062905156427875500681e-13777im,0.00236062875527419602537748345679510469114432979221434778464151287047684297366188 + 8.394628129971909263771280557283844723221111958754938497041058008560291787912352e-13783im,0.4315258447736641360804080947420625759566745554407628553821313254992976782304455 - 2.185315911854370387751009245311987506305392759616129456385771787788798780377996e-13780im,9.416522869331679898180527600823782953380479641730541045734860561083542792859724 - 4.517539406011390341791105944853957341775169951064004933955463256121830958364303e-13779im,1.036627500801811607102805543474360909026476336136380753278512996044337364296478e-13778im - 21.68454206166268779186834856146526553840783453703894250118169505142605967858723,1.071720555120734626807146435480838562639841700626421262366856316651523510116551e-13774im - 67741.30869514884151694487715094516180379173836300900917991681116806403709706163,47570.24894846799037125633156103004205139162231511551184503280126230333727284172 - 7.531314108171128496720588289991501462306773190253451720993736545329229209914422e-13775im,7924.773781808720183650867384984781258477879065687285749216145050753080253373823 - 1.254629648219470848145893726760308818149016806524158814980216593193206815986269e-13775im,8.770812519593406159270441849030018500945935994741219501743544322631767363154676e-13790im - 4.44082073049021893746314574783824894160741865815819092380267521370016135431932e-19
0.5853490438100435389190313109745347153663273330931188308289871263951881445377814 - 1.017562123962461868765703798246856867867148701772156051035792280567048495881702im,0.8903407791686183430728804833744416169204496637819007323214788902276430672050871im - 1.311211585831104342737043291413525800739583419246223723467832412970542394816689,0.1926970487041206449211712839995945794584630802340712517494067766438066500079634im - 0.3618740257078119155153942118429961610007126334346272059266741119990588330279864,1.294191862941178804334876709423660163278728991786741452558514986381060058629407im - 0.1873823366538155509261200664588789582787923649111948476294649454720038228133161,0.7175954608753221095041155189355706062641171191175286951718236137197401231645721 - 0.5042104292516016549890881435093838525781008910053057758599810186088761891313777im,0.3641451908256664319313495467274065018768555055159433233529305482106393820602225 + 0.5209946500221270124760486365390020777771609635056983656163758433336017882831702im,0.06158267730514426546151101659157902553690995762338670502286358637342552404889853 + 2.403262382143689879083930198105180061595613007855913623619150827913243383555744im,1.391219606591678462840105278930795021705997658203408364508718892312608106650533 + 0.1187884249812955187289829014498054464195065242070850057972806150281912847209816im,2.21919089881227968339560602390212681641217478582424915779509775815221800652901 - 1.385314717949559706325037730074953508491440256380023723547108552376924409975047im,-0.07432328881440237491076157213517468877157773168076266056947495253599155745692552 - 0.4197399615103463974416016690369924203917012826493084961569974119866161633960429im
211.2402089385351928668486260098523528040182907875511986740898218367186490505835 - 365.8787744830082525480519855140981792968809245770162019936403116531135293185711im,385.7390840854500770252947992021971594936234125064222910861678734045065833713052im - 222.7065640336942896773869685175188207083263135772758690658728745829513418526432,-0.001180314377637098012688741728397552345572164896107173892320756435238421486874424 - 0.002044364470971492414677355904631074403602903145188637619357634507146052026305328im,-0.215762922386832068040204047371031287978337277720381427691065662749648839113027 - 0.373712343963533476953507818451514125516796714104388516509888285533392004871548im,-4.70826143466583994909026380041189147669023982086527052286743028054177139634502 - 8.154948020158368881326984989723717843011183090613915286903345163380593788993649im,10.84227103083134389593417428073263276920391726851947125059084752571302983908552 + 18.77936429483207287555768122571980374557291781493669896222696748425949881626917im,2.188864446987722340951995044573482466954778919197618583897950528676603743935786e-68im - 67741.30869514884151694487715094516180379173836300900917991681116806403705380265,47570.2489484679903712563315610300420513916223151155118450328012623033372422805 - 1.545874629810880579263138022850107492306168564773460355555648085433842440554258e-68im,7924.773781808720183650867384984781258477879065687285749216145050753080248194116 - 2.622867706970682520819026564948625157586297118217604455823471135445594821498373e-69im,2.220410365245109468731572873919124470803709329079095461901337606850086334342984e-19 - 3.845863566257097647220788542501864917014158790273603265790598302434243764352156e-19im
0.5885601273753202828295696038799996150078407386568612160793368211023548464016154 + 1.015708204001658957433542037186267213184887227072649382318197978698224611079426im,-0.1154519398697022501139517949265735002697270369297920518743902915414665763808701 - 1.580712932650525441900605226322348843651488217244031699244696335781061953570068im,0.3478175522659616791569980247329287981863356868405682494582206397745351840956062 + 0.2170435748806478229470123319716627187182817692048585721389582554216455785641184im,1.214494199005077028400429974507814768241252226188405218239745832087383405899639 - 0.484818067707897171596834727135816831342649875016541725615959864323351415881379im,-0.7954567710226045132157321628787529562045470602534895551753502392155701635030721 - 0.369350684132630347396395631780927411966629760140600388360323819346743250273426im,0.2691220067421116271655781447095383840706931696512567715810847935485389038919901 - 0.5758563109320227414117468954716605641758074141383883429160819186341456048206588im,0.06158267730514426546151101659157902553690995762338670502286358637342552405039637 + 2.403262382143689879083930198105180061595613007855913623619150827913243383554881im,1.391219606591678462840105278930795021705997658203408364508718892312608106650481 + 0.1187884249812955187289829014498054464195065242070850057972806150281912847209708im,2.21919089881227968339560602390212681641217478582424915779509775815221800652521 - 1.385314717949559706325037730074953508491440256380023723547108552376924409974961im,0.4006671140586636623691754177572863476163894136914585622901983527855429951310651 + 0.1455041245490929296839522929049141845571634913025025656340628703198569342223611im
211.2402089385351928668486260098523528040182907875511986740898218367186491175018 + 365.8787744830082525480519855140981792968809245770162019936403116531135291395003im,-222.7065640336942896773869685175188207083263135772758690658728745829513419238617 - 385.7390840854500770252947992021971594936234125064222910861678734045065831806672im,0.002044364470971492414677355904631074403602903145188637619357634507146052026481357im - 0.001180314377637098012688741728397552345572164896107173892320756435238421487925254,0.3737123439635334769535078184515141255167967141043885165098882855333920048672817im - 0.2157629223868320680402040473710312879783372777203814276910656627496488390894891,8.154948020158368881326984989723717843011183090613915286903345163380593788649169im - 4.708261434665839949090263800411891476690239820865270522867430280541771394296521,10.84227103083134389593417428073263276920391726851947125059084752571302983415281 - 18.77936429483207287555768122571980374557291781493669896222696748425949881544203im,2.683799019960103313116903631430074188283443224836084099502120095017169415632579e-68im - 67741.30869514884151694487715094516180379173836300900917991681116806403701358864,47570.24894846799037125633156103004205139162231511551184503280126230333721388245 - 1.895359633754370453159265807172174837197295588563831561276123545128193854364756e-68im,7924.773781808720183650867384984781258477879065687285749216145050753080243377556 - 3.215765127994677251485855544454185458076535038558278301668967899063445139515929e-69im,2.220410365245109468731572873919124470803709329079095461901337606850090189823575e-19 + 3.845863566257097647220788542501864917014158790273603265790598302434247506631311e-19im
1.410508239718307993602147174219427306549836018767062268685539467842928385045456im - 2.712578854773709267609830984904294610224068786406266207471399988699730944991818,1.777278038584917404115118596925672810138861883247526568102364526777210024701448 - 1.618653208891658104644519891351629255510410410426519572071549469781477921918647im,0.243629228925048990729586362300421961012981752921612058112393934450057409533024im - 0.01482396604823028990832127166295930233044146817068217864813234736522425642728633,2.945692152275930655017007403191889505434524236198111287625281067241832563850956im - 0.9982998738544848513502747766695059598944039976369173077767709962517125739781713,3.853104414808042127505481244126970363188939122540028304976910155093360463500487 - 0.4559570286712662523376075667380163978839112972052231960965812648024282377986357im,0.3580419357089215738805577419902477229353886039381497704326174334959416245890803 - 3.444950874054415396830295264464273900058016043245909151059904911299396008998328im,-5.970074062537054265374522449342929353839470539572989633036213978830421023725977 - 9.520156466850038497575596481036065763668795961991181294254790005242085582606505im,9.694401173619896137384551276967976274035796575323064411271634199330712013420807im - 16.91790342266285678380832587799939257549633252607187396156524824913768043919161,10.73747375086702277877927446619119471279603322521888572550468462523150345386228 + 9.781306357494308769210095203875220950270259119395231556345460896264946269349845im,0.001154318406154143917352680909111531935104501924315987724686496347110905707515965 + 0.0003426996121792471502069969471351051674315114079884617842972471543320037999915012im
